"2025-04-17_02-28_10-4 - RawData"
"Wavelength nm.","Abs."
400.00,0.662
401.00,0.564
402.00,0.468
403.00,0.388
404.00,0.323
405.00,0.268
406.00,0.222
407.00,0.182
408.00,0.150
409.00,0.124
410.00,0.103
411.00,0.085
412.00,0.071
413.00,0.059
414.00,0.049
415.00,0.041
416.00,0.036
417.00,0.028
418.00,0.023
419.00,0.019
420.00,0.015
421.00,0.012
422.00,0.009
423.00,0.007
424.00,0.005
425.00,0.003
426.00,0.001
427.00,-0.000
428.00,-0.001
429.00,-0.003
430.00,-0.004
431.00,-0.005
432.00,-0.006
433.00,-0.007
434.00,-0.007
435.00,-0.008
436.00,-0.009
437.00,-0.010
438.00,-0.010
439.00,-0.011
440.00,-0.011
441.00,-0.012
442.00,-0.012
443.00,-0.013
444.00,-0.013
445.00,-0.014
446.00,-0.014
447.00,-0.015
448.00,-0.015
449.00,-0.015
450.00,-0.016
451.00,-0.016
452.00,-0.016
453.00,-0.017
454.00,-0.017
455.00,-0.017
456.00,-0.018
457.00,-0.018
458.00,-0.018
459.00,-0.019
460.00,-0.019
461.00,-0.019
462.00,-0.019
463.00,-0.020
464.00,-0.020
465.00,-0.020
466.00,-0.020
467.00,-0.021
468.00,-0.021
469.00,-0.021
470.00,-0.021
471.00,-0.021
472.00,-0.021
473.00,-0.022
474.00,-0.022
475.00,-0.022
476.00,-0.022
477.00,-0.022
478.00,-0.023
479.00,-0.023
480.00,-0.023
481.00,-0.023
482.00,-0.023
483.00,-0.023
484.00,-0.023
485.00,-0.023
486.00,-0.023
487.00,-0.024
488.00,-0.024
489.00,-0.024
490.00,-0.024
491.00,-0.024
492.00,-0.024
493.00,-0.024
494.00,-0.024
495.00,-0.024
496.00,-0.025
497.00,-0.025
498.00,-0.025
499.00,-0.025
500.00,-0.025
501.00,-0.025
502.00,-0.025
503.00,-0.025
504.00,-0.025
505.00,-0.025
506.00,-0.025
507.00,-0.025
508.00,-0.025
509.00,-0.025
510.00,-0.025
511.00,-0.025
512.00,-0.025
513.00,-0.026
514.00,-0.026
515.00,-0.026
516.00,-0.026
517.00,-0.026
518.00,-0.026
519.00,-0.026
520.00,-0.026
521.00,-0.026
522.00,-0.026
523.00,-0.026
524.00,-0.026
