"2025-04-17_02-28_10-0 - RawData"
"Wavelength nm.","Abs."
400.00,0.694
401.00,0.588
402.00,0.482
403.00,0.393
404.00,0.322
405.00,0.263
406.00,0.213
407.00,0.172
408.00,0.138
409.00,0.111
410.00,0.089
411.00,0.071
412.00,0.057
413.00,0.044
414.00,0.034
415.00,0.027
416.00,0.022
417.00,0.014
418.00,0.010
419.00,0.006
420.00,0.002
421.00,-0.000
422.00,-0.003
423.00,-0.005
424.00,-0.006
425.00,-0.008
426.00,-0.009
427.00,-0.010
428.00,-0.011
429.00,-0.011
430.00,-0.012
431.00,-0.013
432.00,-0.013
433.00,-0.014
434.00,-0.014
435.00,-0.015
436.00,-0.015
437.00,-0.015
438.00,-0.016
439.00,-0.016
440.00,-0.016
441.00,-0.016
442.00,-0.016
443.00,-0.017
444.00,-0.017
445.00,-0.017
446.00,-0.017
447.00,-0.017
448.00,-0.017
449.00,-0.017
450.00,-0.018
451.00,-0.018
452.00,-0.018
453.00,-0.018
454.00,-0.018
455.00,-0.018
456.00,-0.018
457.00,-0.018
458.00,-0.018
459.00,-0.019
460.00,-0.019
461.00,-0.019
462.00,-0.019
463.00,-0.019
464.00,-0.019
465.00,-0.019
466.00,-0.019
467.00,-0.019
468.00,-0.019
469.00,-0.019
470.00,-0.020
471.00,-0.020
472.00,-0.020
473.00,-0.020
474.00,-0.020
475.00,-0.020
476.00,-0.020
477.00,-0.020
478.00,-0.020
479.00,-0.020
480.00,-0.020
481.00,-0.020
482.00,-0.020
483.00,-0.020
484.00,-0.020
485.00,-0.020
486.00,-0.020
487.00,-0.020
488.00,-0.020
489.00,-0.021
490.00,-0.021
491.00,-0.021
492.00,-0.021
493.00,-0.021
494.00,-0.021
495.00,-0.021
496.00,-0.021
497.00,-0.021
498.00,-0.021
499.00,-0.021
500.00,-0.021
501.00,-0.021
502.00,-0.021
503.00,-0.021
504.00,-0.021
505.00,-0.021
506.00,-0.021
507.00,-0.021
508.00,-0.021
509.00,-0.021
510.00,-0.021
511.00,-0.021
512.00,-0.021
513.00,-0.021
514.00,-0.021
515.00,-0.021
516.00,-0.021
517.00,-0.021
518.00,-0.021
519.00,-0.021
520.00,-0.021
521.00,-0.021
522.00,-0.021
523.00,-0.021
524.00,-0.021
525.00,-0.021
526.00,-0.021
527.00,-0.021
528.00,-0.021
529.00,-0.021
530.00,-0.021
531.00,-0.021
532.00,-0.021
533.00,-0.021
534.00,-0.021
535.00,-0.021
536.00,-0.022
537.00,-0.021
538.00,-0.021
539.00,-0.021
540.00,-0.021
541.00,-0.021
542.00,-0.021
543.00,-0.021
544.00,-0.021
545.00,-0.021
546.00,-0.021
547.00,-0.021
548.00,-0.021
549.00,-0.021
550.00,-0.021
551.00,-0.021
552.00,-0.021
553.00,-0.021
