"2025-04-29_03-14_10-5 - RawData"
"Wavelength nm.","Abs."
400.00,0.649
401.00,0.555
402.00,0.460
403.00,0.380
404.00,0.316
405.00,0.263
406.00,0.217
407.00,0.179
408.00,0.147
409.00,0.122
410.00,0.102
411.00,0.085
412.00,0.071
413.00,0.059
414.00,0.049
415.00,0.042
416.00,0.037
417.00,0.029
418.00,0.024
419.00,0.020
420.00,0.017
421.00,0.013
422.00,0.011
423.00,0.009
424.00,0.006
425.00,0.005
426.00,0.003
427.00,0.002
428.00,0.000
429.00,-0.001
430.00,-0.002
431.00,-0.003
432.00,-0.004
433.00,-0.005
434.00,-0.006
435.00,-0.006
436.00,-0.007
437.00,-0.008
438.00,-0.008
439.00,-0.009
440.00,-0.010
441.00,-0.010
442.00,-0.011
443.00,-0.011
444.00,-0.012
445.00,-0.012
446.00,-0.012
447.00,-0.013
448.00,-0.013
449.00,-0.014
450.00,-0.014
451.00,-0.014
452.00,-0.015
453.00,-0.015
454.00,-0.015
455.00,-0.016
456.00,-0.016
457.00,-0.016
458.00,-0.017
459.00,-0.017
460.00,-0.017
461.00,-0.018
462.00,-0.018
463.00,-0.018
464.00,-0.018
465.00,-0.019
466.00,-0.019
467.00,-0.019
468.00,-0.019
469.00,-0.019
470.00,-0.020
471.00,-0.020
472.00,-0.020
473.00,-0.020
474.00,-0.020
475.00,-0.021
476.00,-0.021
477.00,-0.021
478.00,-0.021
479.00,-0.021
480.00,-0.021
481.00,-0.021
482.00,-0.022
483.00,-0.022
484.00,-0.022
485.00,-0.022
486.00,-0.022
487.00,-0.022
488.00,-0.022
489.00,-0.022
490.00,-0.023
491.00,-0.023
492.00,-0.023
493.00,-0.023
494.00,-0.023
495.00,-0.023
496.00,-0.023
497.00,-0.023
498.00,-0.023
499.00,-0.024
500.00,-0.024
501.00,-0.024
502.00,-0.024
503.00,-0.024
504.00,-0.024
505.00,-0.024
506.00,-0.024
507.00,-0.024
508.00,-0.024
509.00,-0.024
510.00,-0.024
511.00,-0.024
512.00,-0.024
513.00,-0.024
514.00,-0.025
515.00,-0.025
516.00,-0.025
517.00,-0.025
518.00,-0.025
519.00,-0.025
520.00,-0.025
521.00,-0.025
522.00,-0.025
523.00,-0.025
524.00,-0.025
525.00,-0.025
526.00,-0.025
527.00,-0.025
528.00,-0.025
529.00,-0.025
530.00,-0.025
531.00,-0.025
532.00,-0.025
533.00,-0.025
534.00,-0.025
535.00,-0.026
536.00,-0.026
537.00,-0.026
538.00,-0.025
539.00,-0.025
540.00,-0.025
541.00,-0.025
542.00,-0.026
543.00,-0.025
544.00,-0.026
545.00,-0.026
546.00,-0.025
547.00,-0.025
548.00,-0.025
549.00,-0.026
550.00,-0.026
551.00,-0.026
552.00,-0.026
553.00,-0.025
554.00,-0.025
555.00,-0.025
556.00,-0.025
557.00,-0.025
558.00,-0.025
559.00,-0.025
560.00,-0.025
561.00,-0.025
562.00,-0.025
563.00,-0.025
564.00,-0.025
565.00,-0.026
566.00,-0.025
567.00,-0.025
568.00,-0.025
569.00,-0.026
570.00,-0.026
571.00,-0.026
572.00,-0.026
573.00,-0.026
574.00,-0.026
575.00,-0.026
576.00,-0.026
577.00,-0.026
