"2025-05-08_03-07_10-4 - RawData"
"Wavelength nm.","Abs."
400.00,0.661
401.00,0.563
402.00,0.466
403.00,0.385
404.00,0.321
405.00,0.266
406.00,0.219
407.00,0.180
408.00,0.148
409.00,0.123
410.00,0.101
411.00,0.084
412.00,0.070
413.00,0.058
414.00,0.048
415.00,0.040
416.00,0.036
417.00,0.028
418.00,0.023
419.00,0.019
420.00,0.015
421.00,0.012
422.00,0.009
423.00,0.007
424.00,0.005
425.00,0.003
426.00,0.002
427.00,0.000
428.00,-0.001
429.00,-0.002
430.00,-0.003
431.00,-0.004
432.00,-0.005
433.00,-0.006
434.00,-0.007
435.00,-0.008
436.00,-0.008
437.00,-0.009
438.00,-0.010
439.00,-0.010
440.00,-0.011
441.00,-0.011
442.00,-0.012
443.00,-0.012
444.00,-0.013
445.00,-0.013
446.00,-0.013
447.00,-0.014
448.00,-0.014
449.00,-0.015
450.00,-0.015
451.00,-0.015
452.00,-0.016
453.00,-0.016
454.00,-0.016
455.00,-0.017
456.00,-0.017
457.00,-0.017
458.00,-0.018
459.00,-0.018
460.00,-0.018
461.00,-0.018
462.00,-0.019
463.00,-0.019
464.00,-0.019
465.00,-0.019
466.00,-0.019
467.00,-0.020
468.00,-0.020
469.00,-0.020
470.00,-0.020
471.00,-0.020
472.00,-0.021
473.00,-0.021
474.00,-0.021
475.00,-0.021
476.00,-0.021
477.00,-0.021
478.00,-0.022
479.00,-0.022
480.00,-0.022
481.00,-0.022
482.00,-0.022
483.00,-0.022
484.00,-0.022
485.00,-0.022
486.00,-0.023
487.00,-0.023
488.00,-0.023
489.00,-0.023
490.00,-0.023
491.00,-0.023
492.00,-0.023
493.00,-0.023
494.00,-0.023
495.00,-0.023
496.00,-0.023
497.00,-0.024
498.00,-0.024
499.00,-0.024
500.00,-0.024
501.00,-0.024
502.00,-0.024
503.00,-0.024
504.00,-0.024
505.00,-0.024
506.00,-0.024
507.00,-0.024
508.00,-0.024
509.00,-0.024
510.00,-0.024
511.00,-0.024
512.00,-0.024
513.00,-0.024
514.00,-0.024
515.00,-0.025
516.00,-0.025
517.00,-0.025
518.00,-0.025
519.00,-0.025
520.00,-0.025
521.00,-0.025
522.00,-0.025
523.00,-0.025
524.00,-0.025
525.00,-0.025
526.00,-0.025
527.00,-0.025
528.00,-0.025
529.00,-0.025
530.00,-0.025
531.00,-0.025
532.00,-0.025
533.00,-0.025
534.00,-0.025
535.00,-0.025
536.00,-0.026
537.00,-0.025
538.00,-0.025
539.00,-0.025
540.00,-0.025
541.00,-0.025
542.00,-0.025
543.00,-0.025
544.00,-0.025
545.00,-0.025
546.00,-0.025
547.00,-0.025
548.00,-0.025
549.00,-0.025
550.00,-0.025
551.00,-0.025
552.00,-0.025
553.00,-0.025
554.00,-0.025
555.00,-0.025
556.00,-0.025
557.00,-0.025
558.00,-0.025
559.00,-0.025
560.00,-0.025
