Meas. ID, Time/Date, WV, Index, Sort #1, Sort #2, Sort #3, 
, 4/29/2025 2:51:35 PM, 632.8, 1.4828 , , , , 
, 4/29/2025 2:52:23 PM, 632.8, 1.4826 , , , , 
, 4/29/2025 2:53:11 PM, 632.8, 1.4829 , , , , 
, 4/29/2025 2:53:59 PM, 632.8, 1.4827 , , , , 
, 4/29/2025 2:54:47 PM, 632.8, 1.4827 , , , , 
, 4/29/2025 2:56:21 PM, 632.8, 1.4825 , , , , 
, 4/29/2025 2:57:09 PM, 632.8, 1.4825 , , , , 
, 4/29/2025 2:57:57 PM, 632.8, 1.4826 , , , , 
, 4/29/2025 2:58:45 PM, 632.8, 1.4828 , , , , 
, 4/29/2025 2:59:33 PM, 632.8, 1.4825 , , , , 
`````````````````````````````````````````````````, 4/29/2025 3:01:22 PM, 632.8, 1.4827 , , , , 
`````````````````````````````````````````````````, 4/29/2025 3:02:10 PM, 632.8, 1.4827 , , , , 
`````````````````````````````````````````````````, 4/29/2025 3:02:58 PM, 632.8, 1.4828 , , , , 
`````````````````````````````````````````````````, 4/29/2025 3:03:46 PM, 632.8, 1.4829 , , , , 
`````````````````````````````````````````````````, 4/29/2025 3:04:34 PM, 632.8, 1.4828 , , , , 
, 4/29/2025 3:06:05 PM, 972.3, 1.4752 , , , , 
, 4/29/2025 3:06:53 PM, 972.3, 1.4753 , , , , 
, 4/29/2025 3:07:41 PM, 972.3, 1.4750 , , , , 
, 4/29/2025 3:08:29 PM, 972.3, 1.4751 , , , , 
, 4/29/2025 3:09:17 PM, 972.3, 1.4749 , , , , 
, 4/29/2025 3:10:52 PM, 972.3, 1.4752 , , , , 
, 4/29/2025 3:11:40 PM, 972.3, 1.4747 , , , , 
, 4/29/2025 3:12:28 PM, 972.3, 1.4749 , , , , 
, 4/29/2025 3:13:16 PM, 972.3, 1.4749 , , , , 
, 4/29/2025 3:14:04 PM, 972.3, 1.4750 , , , , 
, 4/29/2025 3:15:40 PM, 972.3, 1.4753 , , , , 
, 4/29/2025 3:16:28 PM, 972.3, 1.4750 , , , , 
, 4/29/2025 3:17:16 PM, 972.3, 1.4752 , , , , 
, 4/29/2025 3:18:04 PM, 972.3, 1.4740 , , , , 
, 4/29/2025 3:18:52 PM, 972.3, 1.4743 , , , , 
, 4/29/2025 3:20:07 PM, 403.2, 1.5021 , , , , 
, 4/29/2025 3:20:55 PM, 403.2, 1.5014 , , , , 
, 4/29/2025 3:21:43 PM, 403.2, 1.5015 , , , , 
, 4/29/2025 3:22:31 PM, 403.2, 1.5015 , , , , 
, 4/29/2025 3:23:19 PM, 403.2, 1.5014 , , , , 
, 4/29/2025 3:25:10 PM, 403.2, 1.5013 , , , , 
, 4/29/2025 3:25:58 PM, 403.2, 1.5015 , , , , 
, 4/29/2025 3:26:46 PM, 403.2, 1.5013 , , , , 
, 4/29/2025 3:27:34 PM, 403.2, 1.5015 , , , , 
, 4/29/2025 3:28:22 PM, 403.2, 1.5014 , , , , 
, 4/29/2025 3:29:38 PM, 403.2, 1.5016 , , , , 
, 4/29/2025 3:30:26 PM, 403.2, 1.5015 , , , , 
, 4/29/2025 3:31:14 PM, 403.2, 1.5018 , , , , 
, 4/29/2025 3:32:02 PM, 403.2, 1.5016 , , , , 
, 4/29/2025 3:32:50 PM, 403.2, 1.5019 , , , , 

Mean, , , 1.4864 , 
Std Dev, , , .0113 , 
% Std Dev, , , 0.76, 
Count, , , 45, 
Min, , , 1.4740 , 
Max, , , 1.5021 , 


