Meas. ID, Time/Date, WV, Index, Sort #1, Sort #2, Sort #3, 
, 4/29/2025 3:36:11 PM, 632.8, 1.4834 , , , , 
, 4/29/2025 3:36:58 PM, 632.8, 1.4845 , , , , 
, 4/29/2025 3:37:46 PM, 632.8, 1.4848 , , , , 
, 4/29/2025 3:38:34 PM, 632.8, 1.4844 , , , , 
, 4/29/2025 3:39:22 PM, 632.8, 1.4847 , , , , 
, 4/29/2025 3:40:45 PM, 632.8, 1.4844 , , , , 
, 4/29/2025 3:41:33 PM, 632.8, 1.4845 , , , , 
, 4/29/2025 3:42:21 PM, 632.8, 1.4844 , , , , 
, 4/29/2025 3:43:09 PM, 632.8, 1.4848 , , , , 
, 4/29/2025 3:43:57 PM, 632.8, 1.4843 , , , , 
, 4/29/2025 3:45:27 PM, 632.8, 1.4849 , , , , 
, 4/29/2025 3:46:15 PM, 632.8, 1.4851 , , , , 
, 4/29/2025 3:47:03 PM, 632.8, 1.4849 , , , , 
, 4/29/2025 3:47:51 PM, 632.8, 1.4849 , , , , 
, 4/29/2025 3:48:39 PM, 632.8, 1.4850 , , , , 
, 4/29/2025 3:49:44 PM, 972.3, 1.4770 , , , , 
, 4/29/2025 3:50:32 PM, 972.3, 1.4767 , , , , 
, 4/29/2025 3:51:20 PM, 972.3, 1.4768 , , , , 
, 4/29/2025 3:52:08 PM, 972.3, 1.4769 , , , , 
, 4/29/2025 3:52:56 PM, 972.3, 1.4767 , , , , 
, 4/29/2025 3:54:06 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 3:54:54 PM, 972.3, 1.4766 , , , , 
, 4/29/2025 3:55:42 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 3:56:30 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 3:57:18 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 3:58:27 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 3:59:15 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 4:00:03 PM, 972.3, 1.4762 , , , , 
, 4/29/2025 4:00:51 PM, 972.3, 1.4764 , , , , 
, 4/29/2025 4:01:39 PM, 972.3, 1.4767 , , , , 
, 4/29/2025 4:02:54 PM, 403.2, 1.5047 , , , , 
, 4/29/2025 4:03:42 PM, 403.2, 1.5046 , , , , 
, 4/29/2025 4:04:30 PM, 403.2, 1.5049 , , , , 
, 4/29/2025 4:05:18 PM, 403.2, 1.5050 , , , , 
, 4/29/2025 4:06:06 PM, 403.2, 1.5050 , , , , 
, 4/29/2025 4:07:16 PM, 403.2, 1.5049 , , , , 
, 4/29/2025 4:08:04 PM, 403.2, 1.5049 , , , , 
, 4/29/2025 4:08:52 PM, 403.2, 1.5044 , , , , 
, 4/29/2025 4:09:39 PM, 403.2, 1.5045 , , , , 
, 4/29/2025 4:10:27 PM, 403.2, 1.5051 , , , , 
, 4/29/2025 4:11:53 PM, 403.2, 1.5051 , , , , 
, 4/29/2025 4:12:41 PM, 403.2, 1.5051 , , , , 
, 4/29/2025 4:13:29 PM, 403.2, 1.5051 , , , , 
, 4/29/2025 4:14:17 PM, 403.2, 1.5051 , , , , 
, 4/29/2025 4:15:05 PM, 403.2, 1.5049 , , , , 

Mean, , , 1.4887 , 
Std Dev, , , .0121 , 
% Std Dev, , , 0.81, 
Count, , , 45, 
Min, , , 1.4762 , 
Max, , , 1.5051 , 


