"2025-04-10_02-21_10-4 - RawData"
"Wavelength nm.","Abs."
400.00,0.665
401.00,0.569
402.00,0.473
403.00,0.392
404.00,0.327
405.00,0.271
406.00,0.224
407.00,0.185
408.00,0.152
409.00,0.127
410.00,0.105
411.00,0.088
412.00,0.073
413.00,0.061
414.00,0.051
415.00,0.043
416.00,0.038
417.00,0.030
418.00,0.025
419.00,0.020
420.00,0.017
421.00,0.013
422.00,0.011
423.00,0.008
424.00,0.006
425.00,0.004
426.00,0.002
427.00,0.001
428.00,-0.001
429.00,-0.002
430.00,-0.003
431.00,-0.004
432.00,-0.005
433.00,-0.006
434.00,-0.007
435.00,-0.008
436.00,-0.008
437.00,-0.009
438.00,-0.010
439.00,-0.010
440.00,-0.011
441.00,-0.012
442.00,-0.012
443.00,-0.013
444.00,-0.013
445.00,-0.014
446.00,-0.014
447.00,-0.014
448.00,-0.015
449.00,-0.015
450.00,-0.016
451.00,-0.016
452.00,-0.016
453.00,-0.017
454.00,-0.017
455.00,-0.017
456.00,-0.018
457.00,-0.018
458.00,-0.018
459.00,-0.019
460.00,-0.019
461.00,-0.019
462.00,-0.019
463.00,-0.020
464.00,-0.020
465.00,-0.020
466.00,-0.020
467.00,-0.021
468.00,-0.021
469.00,-0.021
470.00,-0.021
471.00,-0.021
472.00,-0.021
473.00,-0.022
474.00,-0.022
475.00,-0.022
476.00,-0.022
477.00,-0.022
478.00,-0.023
479.00,-0.023
480.00,-0.023
481.00,-0.023
482.00,-0.023
483.00,-0.023
484.00,-0.023
485.00,-0.024
486.00,-0.024
487.00,-0.024
488.00,-0.024
489.00,-0.024
490.00,-0.024
491.00,-0.024
492.00,-0.024
493.00,-0.024
494.00,-0.024
495.00,-0.025
496.00,-0.025
497.00,-0.025
498.00,-0.025
499.00,-0.025
500.00,-0.025
501.00,-0.025
502.00,-0.025
503.00,-0.025
504.00,-0.025
505.00,-0.025
506.00,-0.026
507.00,-0.025
508.00,-0.026
509.00,-0.026
510.00,-0.026
511.00,-0.026
512.00,-0.026
513.00,-0.026
514.00,-0.026
515.00,-0.026
516.00,-0.026
517.00,-0.026
518.00,-0.026
519.00,-0.026
520.00,-0.026
521.00,-0.026
522.00,-0.026
523.00,-0.026
524.00,-0.026
525.00,-0.026
526.00,-0.026
527.00,-0.026
528.00,-0.026
529.00,-0.026
530.00,-0.026
531.00,-0.026
532.00,-0.026
533.00,-0.027
534.00,-0.027
535.00,-0.027
536.00,-0.028
537.00,-0.027
538.00,-0.027
539.00,-0.027
540.00,-0.027
541.00,-0.027
542.00,-0.027
543.00,-0.027
