"AirBaseline_EmptyGlass2 - RawData"
"Wavelength nm.","Abs."
400.00,0.084
401.00,0.083
402.00,0.083
403.00,0.083
404.00,0.083
405.00,0.083
406.00,0.083
407.00,0.083
408.00,0.083
409.00,0.083
410.00,0.083
411.00,0.083
412.00,0.083
413.00,0.083
414.00,0.083
415.00,0.083
416.00,0.085
417.00,0.084
418.00,0.083
419.00,0.083
420.00,0.083
421.00,0.083
422.00,0.083
423.00,0.083
424.00,0.083
425.00,0.083
426.00,0.083
427.00,0.083
428.00,0.083
429.00,0.083
430.00,0.083
431.00,0.083
432.00,0.083
433.00,0.083
434.00,0.083
435.00,0.083
436.00,0.082
437.00,0.082
438.00,0.082
439.00,0.082
440.00,0.082
441.00,0.082
442.00,0.082
443.00,0.082
444.00,0.082
445.00,0.082
446.00,0.082
447.00,0.082
448.00,0.082
449.00,0.082
450.00,0.082
451.00,0.082
452.00,0.082
453.00,0.082
454.00,0.082
455.00,0.082
456.00,0.082
457.00,0.081
458.00,0.081
459.00,0.081
460.00,0.081
461.00,0.081
462.00,0.081
463.00,0.081
464.00,0.081
465.00,0.081
466.00,0.081
467.00,0.081
468.00,0.081
469.00,0.081
470.00,0.081
471.00,0.081
472.00,0.081
473.00,0.081
474.00,0.081
475.00,0.081
476.00,0.081
477.00,0.081
478.00,0.081
479.00,0.081
480.00,0.081
481.00,0.081
482.00,0.080
483.00,0.080
484.00,0.080
485.00,0.080
486.00,0.080
487.00,0.080
488.00,0.080
489.00,0.080
490.00,0.080
491.00,0.080
492.00,0.080
493.00,0.080
494.00,0.080
495.00,0.080
496.00,0.080
497.00,0.080
498.00,0.080
499.00,0.080
500.00,0.080
501.00,0.080
502.00,0.080
503.00,0.080
504.00,0.080
505.00,0.080
506.00,0.080
507.00,0.080
508.00,0.080
509.00,0.080
510.00,0.080
511.00,0.080
512.00,0.080
513.00,0.080
514.00,0.080
515.00,0.080
516.00,0.079
517.00,0.079
518.00,0.079
519.00,0.079
520.00,0.079
521.00,0.079
522.00,0.079
523.00,0.079
524.00,0.079
525.00,0.079
526.00,0.079
527.00,0.079
528.00,0.079
529.00,0.079
530.00,0.079
531.00,0.079
532.00,0.079
533.00,0.079
534.00,0.079
535.00,0.079
536.00,0.078
537.00,0.079
538.00,0.079
539.00,0.079
540.00,0.079
541.00,0.079
542.00,0.079
543.00,0.079
544.00,0.079
545.00,0.079
546.00,0.079
547.00,0.079
548.00,0.079
549.00,0.079
550.00,0.079
551.00,0.079
552.00,0.079
553.00,0.079
554.00,0.079
555.00,0.079
556.00,0.078
557.00,0.078
558.00,0.079
559.00,0.078
560.00,0.078
561.00,0.078
562.00,0.078
563.00,0.078
564.00,0.078
565.00,0.078
566.00,0.078
567.00,0.078
568.00,0.078
569.00,0.078
570.00,0.078
571.00,0.078
572.00,0.078
573.00,0.078
574.00,0.078
575.00,0.078
576.00,0.078
577.00,0.078
578.00,0.078
579.00,0.078
580.00,0.078
581.00,0.078
582.00,0.078
583.00,0.078
584.00,0.078
585.00,0.078
586.00,0.078
587.00,0.078
588.00,0.078
589.00,0.078
590.00,0.078
591.00,0.078
592.00,0.078
593.00,0.078
594.00,0.078
595.00,0.078
596.00,0.078
597.00,0.078
598.00,0.078
599.00,0.078
600.00,0.078
601.00,0.078
602.00,0.078
603.00,0.078
604.00,0.078
605.00,0.078
606.00,0.078
607.00,0.078
608.00,0.078
609.00,0.078
610.00,0.078
611.00,0.078
612.00,0.078
613.00,0.078
614.00,0.078
615.00,0.078
616.00,0.078
617.00,0.078
618.00,0.078
619.00,0.078
620.00,0.078
621.00,0.078
622.00,0.078
623.00,0.078
624.00,0.078
625.00,0.078
626.00,0.078
627.00,0.078
628.00,0.078
629.00,0.078
630.00,0.078
631.00,0.078
632.00,0.078
633.00,0.078
634.00,0.078
635.00,0.078
636.00,0.077
637.00,0.077
638.00,0.077
639.00,0.077
640.00,0.077
641.00,0.077
642.00,0.077
643.00,0.077
644.00,0.077
645.00,0.077
646.00,0.077
647.00,0.077
648.00,0.077
649.00,0.077
650.00,0.078
651.00,0.078
652.00,0.078
653.00,0.078
654.00,0.078
655.00,0.078
656.00,0.078
657.00,0.078
658.00,0.078
659.00,0.077
660.00,0.077
661.00,0.077
662.00,0.077
663.00,0.077
664.00,0.077
665.00,0.077
666.00,0.077
667.00,0.077
668.00,0.077
669.00,0.077
670.00,0.077
671.00,0.077
672.00,0.077
673.00,0.077
674.00,0.077
