"AirBaseline_EmptyGlass5 - RawData"
"Wavelength nm.","Abs."
400.00,0.082
401.00,0.082
402.00,0.082
403.00,0.081
404.00,0.082
405.00,0.082
406.00,0.082
407.00,0.081
408.00,0.081
409.00,0.081
410.00,0.081
411.00,0.081
412.00,0.081
413.00,0.081
414.00,0.081
415.00,0.082
416.00,0.083
417.00,0.082
418.00,0.081
419.00,0.081
420.00,0.081
421.00,0.081
422.00,0.081
423.00,0.081
424.00,0.081
425.00,0.081
426.00,0.081
427.00,0.081
428.00,0.081
429.00,0.081
430.00,0.081
431.00,0.081
432.00,0.081
433.00,0.081
434.00,0.081
435.00,0.081
436.00,0.081
437.00,0.081
438.00,0.081
439.00,0.081
440.00,0.080
441.00,0.080
442.00,0.080
443.00,0.080
444.00,0.080
445.00,0.080
446.00,0.080
447.00,0.080
448.00,0.080
449.00,0.080
450.00,0.080
451.00,0.080
452.00,0.080
453.00,0.080
454.00,0.080
455.00,0.080
456.00,0.080
457.00,0.080
458.00,0.079
459.00,0.079
460.00,0.079
461.00,0.079
462.00,0.079
463.00,0.079
464.00,0.079
465.00,0.079
466.00,0.079
467.00,0.079
468.00,0.079
469.00,0.079
470.00,0.079
471.00,0.079
472.00,0.079
473.00,0.079
474.00,0.079
475.00,0.079
476.00,0.079
477.00,0.079
478.00,0.078
479.00,0.078
480.00,0.078
481.00,0.079
482.00,0.078
483.00,0.078
484.00,0.078
485.00,0.078
486.00,0.078
487.00,0.078
488.00,0.078
489.00,0.078
490.00,0.078
491.00,0.078
492.00,0.078
493.00,0.078
494.00,0.078
495.00,0.078
496.00,0.078
497.00,0.078
498.00,0.078
499.00,0.078
500.00,0.078
501.00,0.078
502.00,0.078
503.00,0.078
504.00,0.078
505.00,0.078
506.00,0.078
507.00,0.078
508.00,0.077
509.00,0.077
510.00,0.077
511.00,0.077
512.00,0.077
513.00,0.077
514.00,0.077
515.00,0.077
516.00,0.077
517.00,0.077
518.00,0.077
519.00,0.077
520.00,0.077
521.00,0.077
522.00,0.077
523.00,0.077
524.00,0.077
525.00,0.077
526.00,0.077
527.00,0.077
528.00,0.077
529.00,0.077
530.00,0.077
531.00,0.077
532.00,0.077
533.00,0.077
534.00,0.077
535.00,0.076
536.00,0.076
537.00,0.076
538.00,0.076
539.00,0.076
540.00,0.076
541.00,0.076
542.00,0.076
543.00,0.076
544.00,0.076
545.00,0.076
546.00,0.076
547.00,0.076
548.00,0.076
549.00,0.076
550.00,0.076
551.00,0.076
552.00,0.076
553.00,0.076
554.00,0.076
555.00,0.076
556.00,0.076
557.00,0.076
558.00,0.076
559.00,0.076
560.00,0.076
561.00,0.076
562.00,0.076
563.00,0.076
564.00,0.076
565.00,0.076
566.00,0.076
567.00,0.076
568.00,0.076
569.00,0.076
570.00,0.076
571.00,0.076
572.00,0.076
573.00,0.076
574.00,0.076
575.00,0.076
576.00,0.076
577.00,0.076
578.00,0.076
579.00,0.076
580.00,0.075
581.00,0.075
582.00,0.075
583.00,0.076
584.00,0.076
585.00,0.075
586.00,0.075
587.00,0.076
588.00,0.075
589.00,0.075
590.00,0.075
591.00,0.075
592.00,0.075
593.00,0.075
594.00,0.075
595.00,0.075
596.00,0.075
597.00,0.075
598.00,0.075
599.00,0.075
600.00,0.075
601.00,0.075
602.00,0.075
603.00,0.075
604.00,0.075
605.00,0.075
606.00,0.075
607.00,0.075
608.00,0.075
609.00,0.075
610.00,0.075
611.00,0.075
612.00,0.075
613.00,0.075
614.00,0.075
615.00,0.075
616.00,0.075
617.00,0.075
618.00,0.075
619.00,0.075
620.00,0.075
621.00,0.075
622.00,0.075
623.00,0.075
624.00,0.075
625.00,0.075
626.00,0.075
627.00,0.075
628.00,0.075
629.00,0.075
630.00,0.075
631.00,0.075
632.00,0.075
633.00,0.075
634.00,0.075
