"AirBaseline_EmptyGlass3 - RawData"
"Wavelength nm.","Abs."
400.00,0.083
401.00,0.083
402.00,0.083
403.00,0.082
404.00,0.082
405.00,0.082
406.00,0.082
407.00,0.082
408.00,0.082
409.00,0.082
410.00,0.082
411.00,0.082
412.00,0.082
413.00,0.082
414.00,0.082
415.00,0.082
416.00,0.084
417.00,0.083
418.00,0.082
419.00,0.082
420.00,0.082
421.00,0.082
422.00,0.082
423.00,0.082
424.00,0.082
425.00,0.082
426.00,0.082
427.00,0.082
428.00,0.082
429.00,0.082
430.00,0.082
431.00,0.082
432.00,0.082
433.00,0.082
434.00,0.082
435.00,0.081
436.00,0.081
437.00,0.081
438.00,0.081
439.00,0.081
440.00,0.081
441.00,0.081
442.00,0.081
443.00,0.081
444.00,0.081
445.00,0.081
446.00,0.081
447.00,0.081
448.00,0.081
449.00,0.081
450.00,0.081
451.00,0.081
452.00,0.081
453.00,0.080
454.00,0.080
455.00,0.080
456.00,0.080
457.00,0.080
458.00,0.080
459.00,0.080
460.00,0.080
461.00,0.080
462.00,0.080
463.00,0.080
464.00,0.080
465.00,0.080
466.00,0.080
467.00,0.080
468.00,0.080
469.00,0.080
470.00,0.080
471.00,0.080
472.00,0.080
473.00,0.079
474.00,0.079
475.00,0.079
476.00,0.079
477.00,0.079
478.00,0.079
479.00,0.079
480.00,0.079
481.00,0.079
482.00,0.079
483.00,0.079
484.00,0.079
485.00,0.079
486.00,0.079
487.00,0.079
488.00,0.079
489.00,0.079
490.00,0.079
491.00,0.079
492.00,0.079
493.00,0.079
494.00,0.079
495.00,0.079
496.00,0.078
497.00,0.079
498.00,0.078
499.00,0.079
500.00,0.078
501.00,0.078
502.00,0.078
503.00,0.078
504.00,0.078
505.00,0.078
506.00,0.078
507.00,0.078
508.00,0.078
509.00,0.078
510.00,0.078
511.00,0.078
512.00,0.078
513.00,0.078
514.00,0.078
515.00,0.078
516.00,0.078
517.00,0.078
518.00,0.078
519.00,0.078
520.00,0.078
521.00,0.078
522.00,0.078
523.00,0.078
524.00,0.078
525.00,0.078
526.00,0.078
527.00,0.078
528.00,0.078
529.00,0.078
530.00,0.078
531.00,0.078
532.00,0.078
533.00,0.078
534.00,0.078
535.00,0.077
536.00,0.077
537.00,0.077
538.00,0.077
539.00,0.077
540.00,0.077
541.00,0.077
542.00,0.077
543.00,0.077
544.00,0.077
545.00,0.077
546.00,0.077
547.00,0.077
548.00,0.077
549.00,0.077
550.00,0.077
551.00,0.077
552.00,0.077
553.00,0.077
554.00,0.077
555.00,0.077
556.00,0.077
557.00,0.077
558.00,0.077
559.00,0.077
560.00,0.077
561.00,0.077
562.00,0.077
563.00,0.077
564.00,0.077
565.00,0.076
566.00,0.076
567.00,0.076
568.00,0.076
569.00,0.076
570.00,0.076
571.00,0.076
572.00,0.076
573.00,0.076
574.00,0.076
575.00,0.076
576.00,0.076
577.00,0.076
578.00,0.076
579.00,0.076
580.00,0.076
581.00,0.076
582.00,0.076
583.00,0.076
584.00,0.076
585.00,0.076
586.00,0.076
587.00,0.076
588.00,0.076
589.00,0.076
590.00,0.076
591.00,0.076
592.00,0.076
593.00,0.076
594.00,0.076
595.00,0.076
596.00,0.076
597.00,0.076
598.00,0.076
599.00,0.076
600.00,0.076
601.00,0.076
602.00,0.076
603.00,0.076
604.00,0.076
605.00,0.076
606.00,0.076
607.00,0.076
608.00,0.076
609.00,0.076
610.00,0.076
611.00,0.076
612.00,0.076
613.00,0.076
614.00,0.076
615.00,0.076
616.00,0.076
617.00,0.076
618.00,0.076
619.00,0.076
620.00,0.076
621.00,0.076
622.00,0.076
623.00,0.076
624.00,0.076
625.00,0.076
626.00,0.076
627.00,0.076
628.00,0.076
629.00,0.076
630.00,0.075
631.00,0.075
632.00,0.075
633.00,0.075
634.00,0.075
635.00,0.075
636.00,0.075
637.00,0.075
638.00,0.075
639.00,0.075
640.00,0.075
641.00,0.075
642.00,0.075
643.00,0.075
644.00,0.075
645.00,0.075
646.00,0.075
647.00,0.075
648.00,0.075
649.00,0.075
650.00,0.075
651.00,0.075
652.00,0.076
653.00,0.076
654.00,0.076
655.00,0.076
656.00,0.076
657.00,0.076
658.00,0.076
659.00,0.075
660.00,0.076
661.00,0.075
662.00,0.075
663.00,0.075
664.00,0.075
665.00,0.075
666.00,0.075
667.00,0.075
668.00,0.075
669.00,0.075
670.00,0.075
671.00,0.075
672.00,0.075
673.00,0.075
674.00,0.075
675.00,0.075
676.00,0.075
677.00,0.075
678.00,0.075
679.00,0.075
680.00,0.075
681.00,0.075
682.00,0.075
683.00,0.075
684.00,0.075
685.00,0.075
686.00,0.075
687.00,0.075
688.00,0.075
689.00,0.075
690.00,0.075
691.00,0.075
692.00,0.075
693.00,0.075
694.00,0.075
695.00,0.075
696.00,0.075
697.00,0.075
698.00,0.075
699.00,0.075
700.00,0.075
701.00,0.075
702.00,0.075
703.00,0.075
704.00,0.075
705.00,0.075
706.00,0.075
707.00,0.075
708.00,0.074
709.00,0.074
710.00,0.074
711.00,0.074
712.00,0.074
713.00,0.074
714.00,0.074
715.00,0.074
716.00,0.074
717.00,0.074
718.00,0.074
719.00,0.074
720.00,0.074
721.00,0.074
722.00,0.074
723.00,0.074
724.00,0.074
725.00,0.074
726.00,0.074
727.00,0.074
728.00,0.074
729.00,0.074
730.00,0.074
731.00,0.074
732.00,0.074
733.00,0.074
734.00,0.074
735.00,0.074
736.00,0.074
737.00,0.074
738.00,0.074
739.00,0.075
740.00,0.074
741.00,0.074
742.00,0.074
743.00,0.074
744.00,0.074
745.00,0.074
746.00,0.074
747.00,0.074
748.00,0.074
749.00,0.074
750.00,0.074
751.00,0.074
752.00,0.074
753.00,0.074
754.00,0.074
755.00,0.074
756.00,0.074
757.00,0.074
758.00,0.074
759.00,0.074
760.00,0.075
761.00,0.074
762.00,0.074
763.00,0.073
764.00,0.074
765.00,0.073
766.00,0.073
767.00,0.073
768.00,0.073
769.00,0.073
770.00,0.073
771.00,0.073
772.00,0.073
773.00,0.073
774.00,0.074
775.00,0.074
776.00,0.073
777.00,0.073
778.00,0.074
779.00,0.074
780.00,0.074
781.00,0.074
782.00,0.074
783.00,0.074
784.00,0.074
785.00,0.074
786.00,0.074
787.00,0.074
788.00,0.074
789.00,0.074
790.00,0.074
791.00,0.074
792.00,0.074
793.00,0.074
794.00,0.074
795.00,0.074
796.00,0.074
797.00,0.074
798.00,0.074
799.00,0.074
800.00,0.074
801.00,0.074
802.00,0.074
803.00,0.074
804.00,0.074
805.00,0.074
806.00,0.074
807.00,0.074
808.00,0.074
809.00,0.074
810.00,0.074
811.00,0.074
812.00,0.073
813.00,0.073
814.00,0.073
815.00,0.073
816.00,0.073
817.00,0.073
818.00,0.073
819.00,0.073
820.00,0.073
821.00,0.073
822.00,0.073
823.00,0.073
824.00,0.073
825.00,0.073
826.00,0.073
827.00,0.073
828.00,0.073
829.00,0.073
830.00,0.073
831.00,0.073
832.00,0.073
833.00,0.073
834.00,0.073
835.00,0.073
836.00,0.073
837.00,0.073
838.00,0.073
839.00,0.073
840.00,0.073
841.00,0.073
842.00,0.074
843.00,0.074
844.00,0.073
845.00,0.074
846.00,0.074
847.00,0.074
848.00,0.074
849.00,0.074
850.00,0.074
851.00,0.074
852.00,0.074
853.00,0.074
854.00,0.074
855.00,0.074
856.00,0.074
857.00,0.074
858.00,0.074
859.00,0.074
860.00,0.074
861.00,0.074
862.00,0.074
863.00,0.074
864.00,0.074
865.00,0.074
866.00,0.074
867.00,0.074
868.00,0.074
869.00,0.074
870.00,0.074
871.00,0.073
872.00,0.073
873.00,0.073
874.00,0.073
875.00,0.073
876.00,0.073
877.00,0.073
878.00,0.073
879.00,0.073
880.00,0.073
881.00,0.073
882.00,0.073
883.00,0.073
884.00,0.073
885.00,0.073
886.00,0.073
887.00,0.073
888.00,0.073
889.00,0.073
890.00,0.073
891.00,0.073
892.00,0.073
893.00,0.073
894.00,0.073
895.00,0.073
896.00,0.073
897.00,0.073
898.00,0.073
899.00,0.073
900.00,0.073
901.00,0.073
902.00,0.073
903.00,0.073
904.00,0.073
905.00,0.073
906.00,0.073
907.00,0.073
908.00,0.073
909.00,0.073
910.00,0.073
911.00,0.073
912.00,0.073
913.00,0.073
914.00,0.073
915.00,0.073
916.00,0.074
917.00,0.073
918.00,0.074
919.00,0.074
920.00,0.074
921.00,0.074
922.00,0.074
923.00,0.074
924.00,0.074
925.00,0.074
926.00,0.074
927.00,0.074
928.00,0.074
929.00,0.074
930.00,0.074
931.00,0.074
932.00,0.074
933.00,0.074
934.00,0.074
935.00,0.074
936.00,0.074
937.00,0.074
938.00,0.074
939.00,0.074
940.00,0.074
941.00,0.073
942.00,0.073
943.00,0.074
944.00,0.073
945.00,0.073
946.00,0.073
947.00,0.073
948.00,0.073
949.00,0.073
950.00,0.073
951.00,0.073
952.00,0.073
953.00,0.073
954.00,0.073
955.00,0.073
956.00,0.073
957.00,0.072
958.00,0.073
959.00,0.073
960.00,0.073
961.00,0.072
962.00,0.073
963.00,0.072
964.00,0.072
965.00,0.072
966.00,0.072
967.00,0.072
968.00,0.072
969.00,0.072
970.00,0.072
971.00,0.072
972.00,0.072
973.00,0.072
974.00,0.072
975.00,0.072
976.00,0.072
977.00,0.072
978.00,0.072
979.00,0.072
980.00,0.072
981.00,0.072
982.00,0.072
983.00,0.072
984.00,0.072
985.00,0.073
986.00,0.072
987.00,0.073
988.00,0.073
989.00,0.073
990.00,0.073
991.00,0.073
992.00,0.073
993.00,0.073
994.00,0.073
995.00,0.073
996.00,0.073
997.00,0.073
998.00,0.073
999.00,0.073
1000.00,0.073
1001.00,0.073
1002.00,0.073
1003.00,0.073
1004.00,0.073
1005.00,0.073
1006.00,0.073
1007.00,0.073
1008.00,0.073
1009.00,0.073
1010.00,0.073
1011.00,0.074
1012.00,0.074
1013.00,0.074
1014.00,0.074
1015.00,0.074
1016.00,0.074
1017.00,0.074
1018.00,0.074
1019.00,0.074
1020.00,0.074
1021.00,0.074
1022.00,0.074
1023.00,0.074
1024.00,0.074
1025.00,0.073
1026.00,0.073
1027.00,0.073
1028.00,0.073
1029.00,0.073
1030.00,0.073
1031.00,0.073
1032.00,0.073
1033.00,0.073
1034.00,0.073
1035.00,0.073
1036.00,0.073
1037.00,0.073
1038.00,0.073
1039.00,0.073
1040.00,0.073
1041.00,0.073
1042.00,0.073
1043.00,0.073
1044.00,0.073
1045.00,0.073
1046.00,0.073
1047.00,0.072
1048.00,0.072
1049.00,0.072
1050.00,0.072
1051.00,0.072
1052.00,0.072
1053.00,0.072
1054.00,0.072
1055.00,0.072
1056.00,0.072
1057.00,0.072
1058.00,0.072
1059.00,0.072
1060.00,0.072
1061.00,0.072
1062.00,0.072
1063.00,0.072
1064.00,0.072
1065.00,0.072
1066.00,0.072
1067.00,0.072
1068.00,0.072
1069.00,0.072
1070.00,0.072
1071.00,0.072
1072.00,0.072
1073.00,0.072
1074.00,0.072
1075.00,0.072
1076.00,0.072
1077.00,0.072
1078.00,0.072
1079.00,0.072
1080.00,0.072
1081.00,0.072
1082.00,0.073
1083.00,0.073
1084.00,0.073
1085.00,0.072
1086.00,0.072
1087.00,0.073
1088.00,0.073
1089.00,0.073
1090.00,0.073
1091.00,0.073
1092.00,0.073
1093.00,0.073
1094.00,0.073
1095.00,0.073
1096.00,0.073
1097.00,0.073
1098.00,0.074
1099.00,0.074
1100.00,0.073
