"AirBaseline_EmptyGlass4 - RawData"
"Wavelength nm.","Abs."
400.00,0.081
401.00,0.081
402.00,0.081
403.00,0.081
404.00,0.081
405.00,0.081
406.00,0.081
407.00,0.081
408.00,0.081
409.00,0.081
410.00,0.081
411.00,0.081
412.00,0.081
413.00,0.081
414.00,0.081
415.00,0.081
416.00,0.083
417.00,0.081
418.00,0.081
419.00,0.081
420.00,0.081
421.00,0.081
422.00,0.081
423.00,0.080
424.00,0.080
425.00,0.080
426.00,0.080
427.00,0.080
428.00,0.080
429.00,0.080
430.00,0.080
431.00,0.080
432.00,0.080
433.00,0.080
434.00,0.080
435.00,0.080
436.00,0.080
437.00,0.080
438.00,0.080
439.00,0.080
440.00,0.080
441.00,0.080
442.00,0.080
443.00,0.080
444.00,0.080
445.00,0.080
446.00,0.080
447.00,0.079
448.00,0.079
449.00,0.079
450.00,0.079
451.00,0.079
452.00,0.079
453.00,0.079
454.00,0.079
455.00,0.079
456.00,0.079
457.00,0.079
458.00,0.079
459.00,0.079
460.00,0.079
461.00,0.079
462.00,0.079
463.00,0.079
464.00,0.079
465.00,0.078
466.00,0.078
467.00,0.078
468.00,0.078
469.00,0.078
470.00,0.078
471.00,0.078
472.00,0.078
473.00,0.078
474.00,0.078
475.00,0.078
476.00,0.078
477.00,0.078
478.00,0.078
479.00,0.078
480.00,0.078
481.00,0.078
482.00,0.078
483.00,0.078
484.00,0.078
485.00,0.078
486.00,0.078
487.00,0.078
488.00,0.078
489.00,0.078
490.00,0.078
491.00,0.077
492.00,0.077
493.00,0.077
494.00,0.077
495.00,0.077
496.00,0.077
497.00,0.077
498.00,0.077
499.00,0.077
500.00,0.077
501.00,0.077
502.00,0.077
503.00,0.077
504.00,0.077
505.00,0.077
506.00,0.077
507.00,0.077
508.00,0.077
509.00,0.077
510.00,0.077
511.00,0.077
512.00,0.077
513.00,0.077
514.00,0.077
515.00,0.077
516.00,0.077
517.00,0.077
518.00,0.077
519.00,0.077
520.00,0.077
521.00,0.077
522.00,0.076
523.00,0.076
524.00,0.076
525.00,0.077
526.00,0.077
527.00,0.076
528.00,0.076
529.00,0.076
530.00,0.076
531.00,0.076
532.00,0.076
533.00,0.076
534.00,0.076
535.00,0.076
536.00,0.075
537.00,0.076
538.00,0.076
539.00,0.076
540.00,0.076
541.00,0.076
542.00,0.076
543.00,0.076
544.00,0.076
545.00,0.076
546.00,0.076
547.00,0.076
548.00,0.076
549.00,0.076
550.00,0.076
551.00,0.076
552.00,0.076
553.00,0.075
554.00,0.075
555.00,0.075
556.00,0.075
557.00,0.075
558.00,0.075
559.00,0.075
560.00,0.075
561.00,0.075
562.00,0.075
563.00,0.075
564.00,0.075
565.00,0.075
566.00,0.075
567.00,0.075
568.00,0.075
569.00,0.075
570.00,0.075
571.00,0.075
572.00,0.075
573.00,0.075
574.00,0.075
575.00,0.075
576.00,0.075
577.00,0.075
578.00,0.075
579.00,0.075
580.00,0.075
581.00,0.075
582.00,0.075
583.00,0.075
584.00,0.075
585.00,0.075
586.00,0.075
587.00,0.075
588.00,0.075
589.00,0.075
590.00,0.075
591.00,0.075
592.00,0.075
593.00,0.075
594.00,0.075
595.00,0.075
596.00,0.075
597.00,0.075
598.00,0.075
599.00,0.075
600.00,0.075
601.00,0.075
602.00,0.075
603.00,0.075
604.00,0.075
605.00,0.075
606.00,0.075
607.00,0.075
608.00,0.075
609.00,0.075
610.00,0.075
611.00,0.075
612.00,0.075
613.00,0.075
614.00,0.075
615.00,0.075
616.00,0.075
617.00,0.075
618.00,0.075
619.00,0.075
620.00,0.075
621.00,0.075
622.00,0.075
623.00,0.075
624.00,0.075
625.00,0.075
626.00,0.075
627.00,0.074
628.00,0.075
629.00,0.075
630.00,0.074
631.00,0.074
632.00,0.074
633.00,0.075
634.00,0.074
635.00,0.074
636.00,0.074
637.00,0.074
638.00,0.074
639.00,0.074
640.00,0.074
641.00,0.074
642.00,0.074
643.00,0.074
644.00,0.074
645.00,0.074
646.00,0.074
647.00,0.074
648.00,0.074
649.00,0.074
650.00,0.074
651.00,0.074
652.00,0.074
653.00,0.074
654.00,0.075
655.00,0.075
656.00,0.074
657.00,0.074
658.00,0.074
659.00,0.074
660.00,0.074
661.00,0.074
662.00,0.074
663.00,0.074
664.00,0.074
665.00,0.074
666.00,0.074
667.00,0.074
668.00,0.074
669.00,0.074
670.00,0.074
671.00,0.074
672.00,0.074
673.00,0.074
674.00,0.074
675.00,0.074
676.00,0.074
677.00,0.074
678.00,0.074
679.00,0.074
680.00,0.074
681.00,0.074
682.00,0.074
683.00,0.074
684.00,0.074
685.00,0.074
686.00,0.074
687.00,0.074
688.00,0.074
689.00,0.074
690.00,0.074
691.00,0.074
692.00,0.074
693.00,0.074
694.00,0.074
695.00,0.074
696.00,0.074
697.00,0.074
698.00,0.074
699.00,0.074
700.00,0.074
701.00,0.074
702.00,0.074
703.00,0.074
704.00,0.074
705.00,0.074
706.00,0.074
707.00,0.074
708.00,0.074
709.00,0.073
710.00,0.073
711.00,0.074
712.00,0.074
713.00,0.074
714.00,0.074
715.00,0.073
716.00,0.073
717.00,0.073
718.00,0.073
719.00,0.073
720.00,0.073
721.00,0.073
722.00,0.074
723.00,0.074
724.00,0.073
725.00,0.073
726.00,0.073
727.00,0.073
728.00,0.073
729.00,0.073
730.00,0.073
731.00,0.073
732.00,0.073
733.00,0.073
734.00,0.073
735.00,0.073
736.00,0.073
737.00,0.073
738.00,0.073
739.00,0.073
740.00,0.073
741.00,0.073
742.00,0.073
743.00,0.073
744.00,0.073
745.00,0.073
746.00,0.073
747.00,0.073
748.00,0.073
749.00,0.073
750.00,0.073
751.00,0.073
752.00,0.073
753.00,0.073
754.00,0.073
755.00,0.073
756.00,0.073
757.00,0.073
758.00,0.073
759.00,0.073
760.00,0.074
761.00,0.073
762.00,0.073
763.00,0.073
764.00,0.073
765.00,0.073
766.00,0.073
767.00,0.073
768.00,0.073
769.00,0.073
770.00,0.073
771.00,0.073
772.00,0.073
773.00,0.073
774.00,0.073
775.00,0.073
776.00,0.073
777.00,0.073
778.00,0.073
779.00,0.073
780.00,0.073
781.00,0.073
782.00,0.073
783.00,0.073
784.00,0.073
785.00,0.073
786.00,0.073
787.00,0.073
788.00,0.073
789.00,0.073
790.00,0.073
791.00,0.073
792.00,0.073
793.00,0.073
794.00,0.073
795.00,0.073
796.00,0.073
797.00,0.073
798.00,0.073
799.00,0.073
800.00,0.073
801.00,0.073
802.00,0.073
803.00,0.073
804.00,0.073
805.00,0.073
806.00,0.073
807.00,0.073
808.00,0.073
809.00,0.073
810.00,0.073
811.00,0.073
812.00,0.073
813.00,0.073
814.00,0.073
815.00,0.073
816.00,0.073
817.00,0.073
818.00,0.073
819.00,0.073
820.00,0.073
821.00,0.073
822.00,0.073
823.00,0.073
824.00,0.073
825.00,0.073
826.00,0.073
827.00,0.073
828.00,0.073
829.00,0.073
830.00,0.073
831.00,0.073
832.00,0.073
833.00,0.073
834.00,0.073
835.00,0.073
836.00,0.073
837.00,0.073
838.00,0.073
839.00,0.073
840.00,0.073
841.00,0.073
842.00,0.073
843.00,0.073
844.00,0.073
845.00,0.073
846.00,0.073
847.00,0.073
848.00,0.073
849.00,0.073
850.00,0.073
851.00,0.073
852.00,0.073
853.00,0.073
854.00,0.073
855.00,0.073
856.00,0.073
857.00,0.073
858.00,0.073
859.00,0.073
860.00,0.073
861.00,0.073
862.00,0.073
863.00,0.073
864.00,0.073
865.00,0.073
866.00,0.073
867.00,0.073
868.00,0.073
869.00,0.073
870.00,0.073
871.00,0.073
872.00,0.073
873.00,0.073
874.00,0.073
875.00,0.073
876.00,0.073
877.00,0.073
878.00,0.073
879.00,0.073
880.00,0.073
881.00,0.073
882.00,0.073
883.00,0.073
884.00,0.073
885.00,0.073
886.00,0.073
887.00,0.073
888.00,0.073
889.00,0.073
890.00,0.073
891.00,0.073
892.00,0.073
893.00,0.073
894.00,0.073
895.00,0.073
896.00,0.073
897.00,0.073
898.00,0.073
899.00,0.073
900.00,0.073
901.00,0.073
902.00,0.073
903.00,0.073
904.00,0.073
905.00,0.073
906.00,0.073
907.00,0.073
908.00,0.073
909.00,0.073
910.00,0.073
911.00,0.073
912.00,0.073
913.00,0.073
914.00,0.073
915.00,0.073
916.00,0.073
917.00,0.073
918.00,0.073
919.00,0.073
920.00,0.073
921.00,0.073
922.00,0.073
923.00,0.073
924.00,0.073
925.00,0.073
926.00,0.073
927.00,0.073
928.00,0.073
929.00,0.073
930.00,0.073
931.00,0.073
932.00,0.073
933.00,0.072
934.00,0.073
935.00,0.073
936.00,0.072
937.00,0.073
938.00,0.073
939.00,0.073
940.00,0.073
941.00,0.073
942.00,0.073
943.00,0.073
944.00,0.072
945.00,0.073
946.00,0.073
947.00,0.073
948.00,0.072
949.00,0.072
950.00,0.073
951.00,0.073
952.00,0.073
953.00,0.072
954.00,0.073
955.00,0.073
956.00,0.073
957.00,0.072
958.00,0.072
959.00,0.073
960.00,0.073
961.00,0.073
962.00,0.073
963.00,0.072
964.00,0.073
965.00,0.073
966.00,0.072
967.00,0.072
968.00,0.073
969.00,0.072
970.00,0.073
971.00,0.072
